County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Taos,NM,87512,Amalia,3.86,-2.03,few clouds,-4.89,1637761802,1637797656,-105.4545,36.942
Tarrant,TX,75054,Grand Prairie,22.6,20.15,clear sky,21.54,1637759193,1637796225,-97.0405,32.5907
Tate,MS,38618,Coldwater,16.1,12.38,overcast clouds,13.1,1637757775,1637794257,-89.9869,34.6924
Tattnall,GA,30420,Cobbtown,8.98,3.74,clear sky,3.67,1637755572,1637792689,-82.1333,32.2642
Taylor,FL,32347,Perry,13.11,9.48,clear sky,10.38,1637755669,1637793304,-83.616,30.1668
Taylor,GA,31006,Butler,9.67,3.79,few clouds,4.68,1637756116,1637793154,-84.2343,32.5726
Taylor,IA,50833,Bedford,9.27,4.61,overcast clouds,3.24,1637759791,1637794519,-94.7324,40.6683
Taylor,KY,42718,Campbellsville,10.02,7.33,overcast clouds,8.33,1637757032,1637792774,-85.3508,37.3466
Taylor,TX,79508,Buffalo Gap,20.53,17.72,clear sky,18.75,1637759820,1637796928,-99.8103,32.2894
Taylor,WI,54433,Gilman,4.27,0.6,overcast clouds,-2.01,1637759639,1637792795,-90.8257,45.1891
Taylor,WV,26347,Flemington,6.98,0.36,clear sky,3.23,1637756064,1637791236,-80.132,39.2665
